الرقم;الشركة الناشئة;الدولة;المجال;وصف النشاط
1;Arva AI;;FinTech / AI;منصة ذكاء اصطناعي تساعد البنوك وشركات التكنولوجيا المالية على أتمتة عمليات الامتثال والتحقق من الشركات ومكافحة غسل الأموال. 
2;ZestyAI;;الذكاء الاصطناعي / التأمين;تحلل صور الأقمار الصناعية والبيانات الجغرافية لتقييم مخاطر العقارات وتساعد شركات التأمين على تسعير المخاطر بدقة. 
3;Exowatt;;الطاقة المتجددة;تطور حلول تخزين طاقة حرارية لتوفير كهرباء متجددة مستقرة لمراكز البيانات وأنظمة الذكاء الاصطناعي. 
4;Anduril Industries;;الذكاء الاصطناعي الدفاعي;تطور أنظمة دفاعية تعتمد الذكاء الاصطناعي والمراقبة الذاتية والطائرات المسيرة لحماية الحدود والبنى التحتية.
5;Scale AI;;الذكاء الاصطناعي;توفر بيانات تدريب عالية الجودة لنماذج الذكاء الاصطناعي وتدعم تطوير الأنظمة الذاتية والروبوتات.
6;Databricks;;البرمجيات الذكية;منصة تحليل بيانات ضخمة تعتمد الذكاء الاصطناعي لمساعدة المؤسسات على بناء تطبيقات تعلم آلي متقدمة.
7;OpenSea;;التجارة الالكترونية الرقمية;منصة سوقية لبيع وشراء الأصول الرقمية وNFT باستخدام تقنيات البلوكشين.
8;Instacart;;التجارة الالكترونية;منصة توصيل مواد غذائية عبر الإنترنت تربط المتاجر بالمستهلكين باستخدام خوارزميات لوجستية ذكية.
9;Stripe;;التكنولوجيا المالية;توفر بنية تحتية لمدفوعات الإنترنت تساعد الشركات الناشئة على معالجة المدفوعات الرقمية بسهولة.
10;Plaid;;FinTech;واجهة برمجية تربط التطبيقات المالية بالحسابات البنكية لتمكين خدمات الدفع وإدارة الأموال.
11;Rivian;;السيارات الكهربائية;تصميم وتصنيع شاحنات وسيارات كهربائية تعتمد أنظمة إلكترونية متقدمة للطاقة والتنقل المستدام.
12;QuantumScape;;بطاريات الليثيوم;تطور بطاريات ليثيوم صلبة الجيل القادم للسيارات الكهربائية ذات كثافة طاقة عالية.
13;Solid Power;;بطاريات السيارات الكهربائية;شركة تعمل على تطوير بطاريات صلبة متقدمة لتحسين مدى وأمان السيارات الكهربائية.
14;ChargePoint;;البنية التحتية للسيارات الكهربائية;تطور شبكة عالمية لمحطات شحن السيارات الكهربائية مع برمجيات لإدارة الطاقة.
15;Aurora Innovation;;السيارات الذاتية;تطور أنظمة قيادة ذاتية للشاحنات والسيارات باستخدام الذكاء الاصطناعي والاستشعار المتقدم.
16;Nuro;;الروبوتات اللوجستية;تصمم مركبات روبوتية ذاتية القيادة لتوصيل البضائع في المدن.
17;Zipline;;الطائرات المسيرة;شبكة طائرات مسيرة لتوصيل الأدوية واللقاحات بسرعة إلى المناطق النائية.
18;Impossible Foods;;البيوتكنولوجيا الغذائية;تطور بدائل لحوم نباتية باستخدام تقنيات البيولوجيا الجزيئية لتقليل استهلاك اللحوم الحيوانية.
19;Ginkgo Bioworks;;البيوتكنولوجيا;تستخدم البيولوجيا الاصطناعية لتصميم كائنات دقيقة تنتج مواد كيميائية وأدوية ووقود حيوي.
20;Moderna;;البيوتكنولوجيا الطبية;تطور لقاحات وعلاجات تعتمد تقنية RNA المرسال لعلاج الأمراض المعدية والسرطان.
21;Benchling;;البيولوجيا الجزيئية;منصة برمجية لإدارة البيانات البيولوجية والبحوث الجينية في المختبرات.
22;Illumina AI Spinouts;;الجينوميات;تحليل التسلسل الجيني باستخدام تقنيات تحليل بيانات متقدمة.
23;Recursion Pharma;;الذكاء الاصطناعي الدوائي;تستخدم الذكاء الاصطناعي لتحليل ملايين التجارب البيولوجية لاكتشاف أدوية جديدة.
24;Tempus;;الطب الدقيق;تحلل بيانات الجينوم والمرضى لتطوير علاجات مخصصة للسرطان.
25;Forward Health;;التكنولوجيا الصحية;تطور منصات رقمية للطب الوقائي باستخدام تحليل البيانات الطبية.
26;Carbon Health;;الصحة الرقمية;عيادات رقمية تقدم خدمات صحية عبر تطبيقات ومنصات ذكاء اصطناعي.
27;Ro Health;;الصحة الرقمية;منصة علاج عبر الإنترنت توفر وصفات طبية وخدمات طبية عن بعد.
28;Hims & Hers;;الصحة الرقمية;خدمات طب عن بعد تركز على الصحة الشخصية والعلاجات الدوائية عبر الإنترنت.
29;Notion;;البرمجيات الذكية;منصة تعاون وإدارة معرفة تعتمد أدوات إنتاجية ذكية للشركات.
30;Figma;;البرمجيات السحابية;أداة تصميم تعاوني عبر الإنترنت للمنتجات الرقمية والتطبيقات.
31;UiPath;;الذكاء الاصطناعي والأتمتة;تطوير روبوتات برمجية لأتمتة العمليات الإدارية في المؤسسات.
32;Snowflake;;تحليل البيانات;منصة تخزين وتحليل البيانات السحابية للشركات الكبرى.
33;Palantir Spinouts;;تحليل البيانات;شركات ناشئة تطور منصات تحليل بيانات متقدمة للقطاع الحكومي والخاص.
